timestamp,aggregated_power
1594137912,504.7716
1594137914,384.7632
1594137915,384.83112
1594137916,386.19312
1594137918,383.60712
1594137919,386.87304
1594137920,386.90616
1594137922,386.00928
1594137923,388.95576
1594137924,386.41848
1594137925,387.61536
1594137927,506.35704
1594137928,793.54416
1594137929,1132.14144
1594137931,1181.71056
1594137932,1196.41104
1594137933,1195.32048
1594137935,1194.67224
1594138109,1200.1116
1594138109,1197.83376
1594138109,1197.92448
1594138109,1063.72056
1594138109,759.10608
1594138109,545.2368
1594138109,391.96512
1594138109,389.91384
1594138109,388.65432
1594138109,389.586
1594138109,390.82152
1594138109,386.43552
1594138109,390.14424
1594138109,390.35976
1594138109,388.94928
1594138109,388.83504
1594138109,391.2036
1594138109,387.04008
1594138109,387.35976
1594138109,389.64792
1594138109,384.40488
1594138109,389.1948
1594138109,388.9416
1594138109,388.60176
1594138109,389.2716
1594138109,389.64912
1594138109,385.0896
1594138109,390.21624
1594138109,392.00448
1594138109,386.63592
1594138109,389.88696
1594138109,391.26336
1594138109,390.50136
1594138112,392.08032
1594138113,389.61816
