timestamp,aggregated_power
1594131487,1168.6968
1594131488,1258.10448
1594131489,1895.23104
1594131491,1892.34096
1594131492,1892.94792
1594131493,1882.81344
1594131495,1879.68816
1594131496,1888.61784
1594131497,1895.01528
1594131499,1890.42
1594131500,1892.4444
1594131501,1892.59032
1594131503,1883.5872
1594131504,1874.03064
1594131505,1874.3208
1594131506,1878.4176
1594131508,1887.71856
1594131509,1891.61088
1594131510,1886.05344
1594131512,1884.34368
1594131513,1883.02632
1594131514,1884.76944
1594131516,1876.83312
1594131517,1873.76304
1594131518,1867.6344
1594131520,1870.50528
1594131521,1878.97392
1594131522,1878.28752
1594131524,1877.11944
1594131525,1875.60432
1594131526,1870.69872
1594131527,1862.92968
1594131529,1868.15904
1594131530,1869.25536
1594131531,1868.36016
1594131533,1863.6948
1594131534,1867.74744
1594131535,1869.99936
1594131537,1865.88408
1594131538,1863.44016
1594131539,1863.94632
1594131541,1860.10296
1594131542,1861.88952
1594131543,1858.59792
1594131544,1860.0252
1594131546,1867.4196
1594131547,1861.25664
1594131548,1866.56904
