timestamp,aggregated_power
1594132380,828.73944
1594132381,631.22208
1594132383,557.65896
1594132384,561.04176
1594132385,554.08848
1594132387,557.952
1594132388,561.84528
1594132389,831.81456
1594132391,1111.39608
1594132392,1247.0124
1594132393,1244.65128
1594132395,1251.54216
1594132396,1249.58256
1594132397,1250.964
1594132398,1243.98024
1594132400,1246.90824
1594132401,1166.55624
1594132402,847.098
1594132404,669.58032
1594132405,558.44952
1594132406,562.7664
1594132408,559.74
1594132409,562.818
1594132410,563.05632
1594132412,559.2996
1594132413,558.56496
1594132414,560.40456
1594132415,559.95624
1594132417,561.12072
1594132418,562.2708
1594132419,559.89768
1594132421,560.28096
1594132422,558.86304
1594132423,561.50952
1594132425,556.37976
1594132426,559.29552
1594132427,563.3076
1594132429,563.32224
1594132430,560.19456
1594132431,563.0124
1594132433,558.2208
1594132434,559.39752
1594132435,559.98048
1594132437,559.52376
1594132438,559.34784
1594132439,560.37288
1594132440,558.73296
1594132442,558.79176
1594132443,557.88624
1594132444,563.07792
1594132446,559.55544
1594132447,558.59352
1594132448,562.77336
1594132450,559.25448
1594132451,557.75544
1594132452,562.8708
1594132454,565.45728
1594132455,555.76512
1594132456,554.13504
1594132458,560.22216
1594132459,561.88272
1594132460,557.04888
1594132461,557.66928
