timestamp,aggregated_power
1581095968,579.34488
1581095970,560.36088
1581095971,554.02728
1581095972,553.6284
1581095973,570.30912
1581095974,560.81664
1581095976,552.68856
1581095977,550.54992
1581095978,567.28224
1581095979,562.4964
1581095980,553.72464
1581095981,553.35216
1581095983,562.542
1581095984,563.86128
1581095985,553.70112
1581095986,557.54976
1581095987,558.19848
1581095989,567.49056
1581095990,550.50144
1581095991,558.47088
1581095992,552.50592
1581095993,574.24968
1581095995,551.99496
1581095996,560.72688
1581095997,554.56728
1581095998,566.97432
1581095999,548.12856
1581096001,557.76888
1581096002,558.30504
1581096003,563.02608
1581096004,552.08328
1581096005,560.592
1581096007,562.94568
1581096008,565.76328
1581096009,557.92224
1581096010,554.69016
