timestamp,aggregated_power
1581095369,3182.37624
1581095370,2800.85928
1581095372,2946.99024
1581095373,3074.86656
1581095374,3176.63304
1581095375,3212.2488
1581095377,3298.272
1581095378,3306.94128
1581095379,3262.99632
1581095380,3246.57696
1581095381,3202.44624
1581095382,3152.09376
1581095384,3142.1244
1581095385,3082.61352
1581095386,3036.1032
1581095387,3046.9356
1581095389,3059.33904
1581095390,3072.20568
1581095391,3132.32208
1581095392,3135.62472
1581095393,3140.57712
1581095394,3156.94008
1581095396,3139.52088
1581095397,3164.25912
1581095398,3140.33928
1581095399,3119.76264
1581095400,3145.818
1581095402,3131.82192
1581095403,3126.99912
1581095404,3136.5216
1581095405,3096.91848
1581095406,3096.83256
1581095408,3119.63568
1581095409,3104.21616
1581095410,3143.1012
1581095411,3130.65312
1581095412,3114.04824
1581095414,3159.30912
1581095415,3139.44696
1581095416,3163.63896
1581095417,3188.472
1581095418,3199.97784
1581095420,3187.54656
1581095421,3223.77
1581095422,3215.41056
1581095423,3209.31
1581095424,3228.50856
1581095425,3224.12208
1581095427,3209.12928
1581095428,3249.8568
1581095429,3271.32168
1581095430,3223.80936
1581095431,3248.24496
1581095433,3268.12488
1581095434,3254.32032
