timestamp,aggregated_power
1594131388,1150.60752
1594131390,1235.23728
1594131391,1353.96744
1594131392,1653.36384
1594131394,1996.57728
1594131395,1995.97536
1594131396,1994.68944
1594131398,1997.88432
1594131399,1990.18872
1594131400,1983.86568
1594131402,1983.70056
1594131403,1979.33904
1594131404,1984.30656
1594131406,1985.68392
1594131407,1982.988
1594131408,1988.52096
1594131409,1987.78536
1594131411,1983.3504
1594131412,1979.97432
1594131413,1976.97264
1594131415,1982.35128
1594131416,1990.50912
1594131417,1986.33936
1594131419,1978.64496
1594131420,1983.63048
1594131421,1982.21232
1594131422,1977.97344
1594131424,1980.80904
1594131425,1984.93608
1594131426,1970.29128
1594131428,1957.94928
1594131429,1962.47064
1594131430,1969.33488
1594131432,1954.64712
1594131433,1937.77512
1594131434,1946.73768
1594131436,1932.37824
1594131437,1920.89064
1594131438,1921.59216
1594131440,1939.24872
1594131441,1937.952
1594131442,1931.72328
1594131443,1934.57784
1594131445,1928.0496
1594131446,1916.3112
1594131447,1921.46736
