timestamp,aggregated_power
1581095805,1970.6544
1581095806,2093.23176
1581095807,2076.59352
1581095808,2083.64232
1581095809,2096.44512
1581095810,2090.8104
1581095812,2073.27528
1581095813,2092.24872
1581095814,2099.8608
1581095815,2081.58648
1581095817,2081.6196
1581095818,2094.47256
1581095819,2099.56416
1581095820,2076.13104
1581095821,2090.78664
1581095822,2094.66816
1581095824,2094.74136
1581095825,2076.42288
1581095826,2095.91448
1581095827,2090.71536
1581095829,2087.62824
1581095830,2082.08736
1581095831,2096.09328
1581095832,2088.64752
1581095833,2079.90912
1581095834,2088.72528
1581095836,2093.39736
1581095837,2070.91056
1581095838,2095.25352
1581095839,2089.89816
1581095840,2072.44368
1581095842,2081.3976
1581095843,2097.74568
1581095844,2084.5464
1581095845,2074.04712
1581095846,2087.97384
1581095848,2082.11496
1581095849,2071.644
1581095850,2075.93352
1581095851,2086.3884
1581095852,2070.34608
1581095854,2072.42208
1581095855,2077.5012
1581095856,2081.98152
1581095857,2062.14648
1581095858,2082.17424
1581095860,2080.41384
1581095861,2072.00664
1581095862,2057.65104
1581095863,2080.97016
1581095864,2077.74408
1581095865,2061.80712
1581095867,2060.50392
1581095868,2080.73112
1581095869,2076.33792
