timestamp,aggregated_power
1581095745,676.75656
1581095746,559.87824
1581095747,564.90144
1581095748,573.34272
1581095750,561.53928
1581095751,564.37128
1581095752,566.81112
1581095753,563.56416
1581095754,567.0408
1581095755,567.372
1581095757,558.31464
1581095758,568.4988
1581095759,566.02344
1581095760,558.9708
1581095761,566.93424
1581095763,562.39584
1581095764,565.9908
1581095765,571.85232
1581095766,569.082
1581095768,555.94968
1581095769,573.66264
1581095770,567.67488
1581095771,565.07304
1581095772,553.72536
1581095773,576.57168
1581095775,537.8028
1581095776,520.38864
1581095777,562.39176
1581095778,572.66784
1581095779,563.916
1581095781,555.93048
1581095782,567.87288
1581095783,570.01176
1581095784,556.79904
1581095785,563.96784
1581095787,558.6396
1581095788,557.46936
1581095789,562.9944
1581095790,560.41464
1581095791,554.36736
1581095793,559.0692
1581095794,567.9648
1581095795,559.272
1581095796,555.48768
1581095797,555.70176
1581095799,575.24736
1581095800,567.77352
1581095801,573.36192
1581095802,571.74168
1581095803,574.9668
