Date,Timestamp,,Timestamp,Phase 1,Phase 2,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances
07/07/2020,14:01:56,07/07/2020 14:01:56,1594130516.00,7.01,0.55,7.56,240,1814.60,9.73,Air conditioner-York
07/07/2020,14:01:58,07/07/2020 14:01:58,1594130518.00,7.05,0.55,7.60,240,1824.34,4.14,Air conditioner-York
07/07/2020,14:01:59,07/07/2020 14:01:59,1594130519.00,7.07,0.55,7.62,240,1828.48,14.18,Air conditioner-York
07/07/2020,14:02:00,07/07/2020 14:02:00,1594130520.00,7.13,0.55,7.68,240,1842.66,11.22,Air conditioner-York
07/07/2020,14:02:02,07/07/2020 14:02:02,1594130522.00,7.17,0.55,7.72,240,1853.88,3.47,Air conditioner-York
07/07/2020,14:02:03,07/07/2020 14:02:03,1594130523.00,7.18,0.56,7.74,240,1857.36,-5.94,Air conditioner-York
07/07/2020,14:02:04,07/07/2020 14:02:04,1594130524.00,7.17,0.55,7.71,240,1851.42,-23.66,Air conditioner-York
07/07/2020,14:02:06,07/07/2020 14:02:06,1594130526.00,7.07,0.55,7.62,240,1827.76,-38.06,Air conditioner-York
07/07/2020,14:02:07,07/07/2020 14:02:07,1594130527.00,6.91,0.55,7.46,240,1789.70,-34.30,Air conditioner-York
07/07/2020,14:02:08,07/07/2020 14:02:08,1594130528.00,6.75,0.56,7.31,240,1755.40,-23.11,Air conditioner-York
07/07/2020,14:02:10,07/07/2020 14:02:10,1594130530.00,6.68,0.54,7.22,240,1732.29,0.78,Air conditioner-York
07/07/2020,14:02:11,07/07/2020 14:02:11,1594130531.00,6.67,0.55,7.22,240,1733.07,19.62,Air conditioner-York
07/07/2020,14:02:12,07/07/2020 14:02:12,1594130532.00,6.75,0.55,7.30,240,1752.69,20.15,Air conditioner-York
07/07/2020,14:02:13,07/07/2020 14:02:13,1594130533.00,6.84,0.55,7.39,240,1772.84,1.94,Air conditioner-York
07/07/2020,14:02:15,07/07/2020 14:02:15,1594130535.00,6.85,0.54,7.39,240,1774.78,19.53,Air conditioner-York
07/07/2020,14:02:16,07/07/2020 14:02:16,1594130536.00,6.92,0.56,7.48,240,1794.31,10.41,Air conditioner-York
07/07/2020,14:02:17,07/07/2020 14:02:17,1594130537.00,6.96,0.55,7.52,240,1804.72,7.98,Air conditioner-York
07/07/2020,14:02:19,07/07/2020 14:02:19,1594130539.00,7.01,0.54,7.55,240,1812.70,9.38,Air conditioner-York
07/07/2020,14:02:20,07/07/2020 14:02:20,1594130540.00,7.04,0.55,7.59,240,1822.08,-1.30,Air conditioner-York
07/07/2020,14:02:21,07/07/2020 14:02:21,1594130541.00,7.03,0.56,7.59,240,1820.78,-11.16,Air conditioner-York
07/07/2020,14:02:23,07/07/2020 14:02:23,1594130543.00,6.99,0.55,7.54,240,1809.62,-17.34,Air conditioner-York
07/07/2020,14:02:24,07/07/2020 14:02:24,1594130544.00,6.93,0.54,7.47,240,1792.28,-2.62,Air conditioner-York
