Meter,Date,Time,,Timestamp,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances ,Mode
,02/07/2020,17:09:50,07/02/2020 17:09:50,1581095390,12.80,240,3072.21,60.12,,
,02/07/2020,17:09:51,07/02/2020 17:09:51,1581095391,13.05,240,3132.32,3.30,,
,02/07/2020,17:09:52,07/02/2020 17:09:52,1581095392,13.07,240,3135.62,4.95,,
,02/07/2020,17:09:53,07/02/2020 17:09:53,1581095393,13.09,240,3140.58,16.36,,
,02/07/2020,17:09:54,07/02/2020 17:09:54,1581095394,13.15,240,3156.94,-17.42,,
,02/07/2020,17:09:56,07/02/2020 17:09:56,1581095396,13.08,240,3139.52,24.74,,
,02/07/2020,17:09:57,07/02/2020 17:09:57,1581095397,13.18,240,3164.26,-23.92,,
,02/07/2020,17:09:58,07/02/2020 17:09:58,1581095398,13.08,240,3140.34,-20.58,,
,02/07/2020,17:09:59,07/02/2020 17:09:59,1581095399,13.00,240,3119.76,26.06,,
,02/07/2020,17:10:00,07/02/2020 17:10:00,1581095400,13.11,240,3145.82,-14.00,,
,02/07/2020,17:10:02,07/02/2020 17:10:02,1581095402,13.05,240,3131.82,-4.82,,
,02/07/2020,17:10:03,07/02/2020 17:10:03,1581095403,13.03,240,3127.00,9.52,,
,02/07/2020,17:10:04,07/02/2020 17:10:04,1581095404,13.07,240,3136.52,-39.60,,
,02/07/2020,17:10:05,07/02/2020 17:10:05,1581095405,12.90,240,3096.92,-0.09,,
,02/07/2020,17:10:06,07/02/2020 17:10:06,1581095406,12.90,240,3096.83,22.80,,
,02/07/2020,17:10:08,07/02/2020 17:10:08,1581095408,13.00,240,3119.64,-15.42,,
,02/07/2020,17:10:09,07/02/2020 17:10:09,1581095409,12.93,240,3104.22,38.89,,
,02/07/2020,17:10:10,07/02/2020 17:10:10,1581095410,13.10,240,3143.10,-12.45,,
,02/07/2020,17:10:11,07/02/2020 17:10:11,1581095411,13.04,240,3130.65,-16.60,,
,02/07/2020,17:10:12,07/02/2020 17:10:12,1581095412,12.98,240,3114.05,45.26,,
,02/07/2020,17:10:14,07/02/2020 17:10:14,1581095414,13.16,240,3159.31,-19.86,,
,02/07/2020,17:10:15,07/02/2020 17:10:15,1581095415,13.08,240,3139.45,24.19,,
,02/07/2020,17:10:16,07/02/2020 17:10:16,1581095416,13.18,240,3163.64,24.83,,
,02/07/2020,17:10:17,07/02/2020 17:10:17,1581095417,13.29,240,3188.47,11.51,,
,02/07/2020,17:10:18,07/02/2020 17:10:18,1581095418,13.33,240,3199.98,-12.43,,
,02/07/2020,17:10:20,07/02/2020 17:10:20,1581095420,13.28,240,3187.55,36.22,,
,02/07/2020,17:10:21,07/02/2020 17:10:21,1581095421,13.43,240,3223.77,-8.36,,
,02/07/2020,17:10:22,07/02/2020 17:10:22,1581095422,13.40,240,3215.41,-6.10,,
,02/07/2020,17:10:23,07/02/2020 17:10:23,1581095423,13.37,240,3209.31,19.20,,
,02/07/2020,17:10:24,07/02/2020 17:10:24,1581095424,13.45,240,3228.51,-4.39,,
,02/07/2020,17:10:25,07/02/2020 17:10:25,1581095425,13.43,240,3224.12,-14.99,,
,02/07/2020,17:10:27,07/02/2020 17:10:27,1581095427,13.37,240,3209.13,40.73,,
,02/07/2020,17:10:28,07/02/2020 17:10:28,1581095428,13.54,240,3249.86,21.46,,
,02/07/2020,17:10:29,07/02/2020 17:10:29,1581095429,13.63,240,3271.32,-47.51,,
,02/07/2020,17:10:30,07/02/2020 17:10:30,1581095430,13.43,240,3223.81,24.44,,
,02/07/2020,17:10:31,07/02/2020 17:10:31,1581095431,13.53,240,3248.24,19.88,,
,02/07/2020,17:10:33,07/02/2020 17:10:33,1581095433,13.62,240,3268.12,-13.80,,
,02/07/2020,17:10:34,07/02/2020 17:10:34,1581095434,13.56,240,3254.32,-2240.52,,
,02/07/2020,17:10:35,07/02/2020 17:10:35,1581095435,4.22,240,1013.80,-412.38,Non inverter Aircond OFF (Panasonic Non Inverter Air Conditioner 3hp),
,02/07/2020,17:10:36,07/02/2020 17:10:36,1581095436,2.51,240,601.43,-10.53,,
,02/07/2020,17:10:37,07/02/2020 17:10:37,1581095437,2.46,240,590.89,-2.50,,
,02/07/2020,17:10:39,07/02/2020 17:10:39,1581095439,2.45,240,588.40,1.56,,
,02/07/2020,17:10:40,07/02/2020 17:10:40,1581095440,2.46,240,589.95,-4.69,,
